detailed_ass_pussy_view,详细的屁股阴视图
detailed_cleavage_view,详细的乳沟视图
highly_detailed_black_Adam_cosplay,高度细致的黑亚当角色扮演
Kate_Beckinsale,美国女明星凯特贝金赛尔黑夜传说
highly_detailed_Iron_Man_cosplay,高度细致的钢铁侠角色扮演
Taylor_Swift,美国女明星泰勒斯威夫特歌星
Emma_Watson,美国女明星艾玛沃特森哈利波特赫敏
crazy_detail,疯狂的细节现实精度品质
intricate_detail,复杂的细节现实精度品质
hyperdetail,超细节现实精度品质
high_skin_detail,高皮肤细节品质细结精度
skin_detail,高皮肤细节皮肤细节品质细结精度
hourglass_body,沙漏形身材
RAW,未经压缩的照片高品质精度
Scarlett_I_Johansson,美国女明星寡姐漫威明星
Angelina_Jolie,美国女明星星安吉丽娜朱莉劳拉
photorealistic,真实感
realistic,现实感真实感
photo_shoot,照片拍摄
sunny_Girl,阳光女孩
best_quality,最佳质量品质
detailed_face,精致的脸
raw_photo,原始照片真实
side_boobs_exposed,侧胸外露
looking_at_viewer,看向观众
rolling_eyes,翻白眼
intricate_details,复杂的细节脸部精致
detailed_lips,详细的嘴唇
nsfw,国家自然科学基金
ulzzang,学生偶像
cinematic_lighting,电影照明灯光
photo-realistic,照片逼真
Fujifilm XT3,富士相机镜头拍摄
cold_light,冷光
warm_light,暖光
hard_light,强光
dramatic_light,戏剧光
color_light,色光
cyberpunk_light,赛博朋克光
masterpiece,杰作
mutiple_different_views,多个不同的视图视角
first-person_view,第一人称视角
pov,主观视角
three_sided_views,三视图
multiple_views,多视图
cut-in,插入画面视角
blurry_foreground,前景模糊视角
close-up,特写镜头视角
cowboy_shot,七分身镜头视角
vanishing_point,远景透视画法视角
from_below,仰视镜头视角
from_above,府视视角
from_behind,背影视角
from_outside,室外看向室内视角
panorama,全景视角
beautiful_woman,美丽的女人
a_closeup_portrait_of_a_playful_maid,一个顽皮女仆的特定肖像
amazing_body,令人惊叹的身材
european_woman,欧洲女性
20_year_old_girl_sexy_poses_in_the_gym,20岁女孩在健身房摆出性感姿势
A_young_and_beautiful_woman,年轻美丽的女人
A_young_and_beautiful_girl,年轻漂亮的女孩
Young_women,少妇
A_sexy_woman,性感的女人
A_highly_seductive_woman,极具诱惑的女人
A_very_sexy_flirting_posture,非常性感的调戏姿势
young_hot_chick_in_sexy_revealing,性感暴露中的年轻辣妹
